NAME,B01003_001E,B19013_001E,B25077_001E,B25024_002E,B25024_003E,B25024_004E,B25024_005E,B25024_006E,B25024_007E,B25024_008E,B25024_001E,state,place
"Carmel CDP, New York",6814,97381,410500,1643,452,115,58,178,132,343,2974,36,12518
"Caroga Lake CDP, New York",405,49961,99100,684,0,0,0,0,0,0,777,36,12584
"Carthage village, New York",3398,55625,113900,928,92,110,204,86,93,27,1645,36,12683
"Cassadaga village, New York",483,52750,103500,241,0,35,7,0,0,0,283,36,12749
"Castile village, New York",875,58250,97200,252,2,30,21,30,0,11,369,36,12771
"Castleton-on-Hudson village, New York",1445,60625,175300,432,12,114,102,6,7,12,685,36,12870
"Castorland village, New York",357,58375,141700,62,2,5,6,16,2,15,116,36,12881
"Cato village, New York",395,56771,111100,145,0,14,22,3,10,2,200,36,12958
"Catskill village, New York",3841,52500,171100,1303,106,80,292,137,27,54,2041,36,13002
"Cattaraugus village, New York",1056,53641,62500,352,0,39,32,20,3,40,495,36,13024
"Cayuga village, New York",362,64375,129500,151,0,8,25,16,0,6,207,36,13068
"Cayuga Heights village, New York",4023,98563,370800,803,123,87,154,250,94,95,1683,36,13079
"Cazenovia village, New York",2734,62625,210300,496,26,73,109,60,8,41,834,36,13145
"Cedarhurst village, New York",7290,99155,730800,1447,14,492,14,27,16,272,2590,36,13233
"Celoron village, New York",1275,50859,70800,437,16,76,3,29,0,0,572,36,13288
"Cementon CDP, New York",253,43750,95000,81,0,29,0,0,0,0,110,36,13299
"Centereach CDP, New York",31979,115091,377900,9331,120,138,72,149,87,78,10532,36,13376
"Center Moriches CDP, New York",7948,122292,450700,2575,170,16,0,17,91,34,2951,36,13420
"Centerport CDP, New York",6028,182321,680200,2168,73,11,0,0,0,19,2271,36,13442
"Central Bridge CDP, New York",523,68860,108700,204,0,0,23,23,0,0,289,36,13530
"Central Islip CDP, New York",36292,89778,318800,6992,1552,483,43,425,354,75,10267,36,13552
"Central Square village, New York",2092,60192,152300,519,47,74,75,125,63,16,1014,36,13585
"Centre Island village, New York",389,169545,1578100,219,2,0,0,0,2,2,225,36,13618
"Chadwicks CDP, New York",1010,58975,112500,409,9,72,17,0,0,0,555,36,13662
"Champlain village, New York",1263,42386,115700,359,0,25,77,4,0,0,569,36,13739
"Chappaqua CDP, New York",3062,196141,712600,860,165,83,0,97,0,0,1205,36,13805
"Chateaugay village, New York",744,75417,99800,302,0,23,23,6,0,5,395,36,13981
"Chatham village, New York",1714,84205,228500,463,15,151,169,22,8,58,905,36,14003
"Chaumont village, New York",650,70625,173000,201,0,18,8,0,2,14,259,36,14036
"Chautauqua CDP, New York",310,-666666666,-666666666,728,25,80,336,53,103,27,1352,36,14058
"Chazy CDP, New York",489,-666666666,132600,138,0,0,27,0,0,0,174,36,14102
"Cheektowaga CDP, New York",76497,59295,127100,22906,597,5773,1860,1536,835,368,35572,36,15000
"Chelsea Cove CDP, New York",1171,73198,184300,55,305,0,0,56,0,0,422,36,15060
"Chenango Bridge CDP, New York",3306,87500,152900,1198,11,0,27,0,0,10,1295,36,15121
"Cherry Creek CDP, New York",452,61328,70400,178,0,12,5,0,0,0,215,36,15187
"Cherry Valley village, New York",567,47143,164000,211,12,32,14,0,0,0,271,36,15242
"Chester village, New York",4092,92868,219600,785,266,17,77,396,123,60,1735,36,15297
"Chestertown CDP, New York",587,60893,153600,184,0,79,50,0,0,0,321,36,15363
"Chestnut Ridge village, New York",10211,98203,577800,2549,63,157,8,0,16,0,2938,36,15400
"Chittenango village, New York",4927,61269,151400,1303,0,140,147,60,258,18,1934,36,15561
"Churchville village, New York",2077,69857,157200,506,236,30,40,75,4,22,917,36,15638
"Clarence CDP, New York",2385,77713,274900,822,18,0,33,0,45,71,1158,36,15814
"Clarence Center CDP, New York",3337,124925,357200,1081,44,12,11,0,0,0,1148,36,15836
"Clark Mills CDP, New York",1655,63265,-666666666,299,102,108,78,74,11,25,909,36,15902
"Clarkson CDP, New York",4800,64645,166600,1197,143,29,65,43,249,169,2025,36,15946
"Claverack-Red Mills CDP, New York",993,149000,214600,413,0,19,21,0,0,0,453,36,16050
"Clayton village, New York",1700,53261,161400,737,23,131,112,60,15,20,1179,36,16089
"Clayville village, New York",326,71250,92500,127,8,45,11,0,0,0,191,36,16111
"Cleveland village, New York",814,68456,120400,251,2,29,2,0,0,2,334,36,16188
"Clifton Gardens CDP, New York",2600,97750,253100,682,7,0,0,149,260,0,1098,36,16298
"Clifton Knolls-Mill Creek CDP, New York",3958,154673,309100,1099,0,20,0,0,0,0,1162,36,16322
"Clifton Springs village, New York",1954,57266,132100,534,10,17,42,67,7,20,825,36,16375
"Clinton village, New York",1916,81154,203000,513,49,85,147,64,23,27,908,36,16419
"Clintondale CDP, New York",1857,-666666666,275500,689,0,78,18,20,9,0,920,36,16452
"Clyde village, New York",2033,53125,74000,673,10,48,106,38,13,28,938,36,16573
"Cobleskill village, New York",4350,44971,146700,850,0,54,298,298,103,48,1651,36,16628
"Cohocton village, New York",1068,49167,73500,323,2,57,14,0,0,0,423,36,16727
"Cohoes city, New York",17931,58669,177300,2742,559,2160,1182,840,325,341,9074,36,16749
"Cold Brook village, New York",256,59750,103100,81,0,16,2,1,0,0,103,36,16815
"Cold Spring village, New York",1915,117292,480500,504,71,124,65,148,29,14,967,36,16936
"Cold Spring Harbor CDP, New York",3067,250001,1218000,964,59,0,34,0,0,0,1057,36,16958
"Colonie village, New York",7792,96495,237600,2531,68,147,56,204,0,15,3050,36,17332
"Colton CDP, New York",314,65476,97100,122,0,9,0,0,17,0,153,36,17398
"Commack CDP, New York",36252,153858,560800,10946,355,49,37,94,194,119,11994,36,17530
"Conesus CDP, New York",171,78250,121700,76,0,0,0,0,0,0,82,36,17607
"Conesus Lake CDP, New York",2028,87083,306600,1563,41,34,0,0,0,40,1760,36,17622
"Congers CDP, New York",7926,130948,473500,2098,240,130,93,121,11,28,2721,36,17739
"Constableville village, New York",342,71250,79400,130,0,0,14,0,0,0,160,36,17882
"Constantia CDP, New York",1453,95459,117100,482,0,0,0,45,0,0,585,36,17893
"Coopers Plains CDP, New York",436,71488,88300,165,0,13,0,0,0,0,178,36,18036
"Cooperstown village, New York",2035,67917,355400,646,29,114,157,63,41,37,1087,36,18047
"Copake CDP, New York",306,99851,171000,167,0,15,0,0,0,0,182,36,18091
"Copake Falls CDP, New York",198,88045,-666666666,41,0,29,48,0,0,0,118,36,18113
"Copake Lake CDP, New York",790,114125,282700,704,0,30,0,0,0,0,744,36,18124
"Copenhagen village, New York",741,68125,128400,186,5,78,43,20,27,0,361,36,18135
"Copiague CDP, New York",23552,96801,355800,5990,150,735,124,96,113,71,7456,36,18146
"Coram CDP, New York",41431,86188,338200,8528,2222,670,903,1716,1309,585,16184,36,18157
"Corfu village, New York",847,81250,125400,242,0,49,0,6,0,9,333,36,18201
"Corinth village, New York",2569,65192,155800,791,17,112,97,23,0,147,1234,36,18212
"Corning city, New York",10708,53269,123100,2895,225,1061,574,264,268,132,5741,36,18256
"Cornwall-on-Hudson village, New York",3059,106280,349800,961,16,79,72,58,27,16,1250,36,18333
"Cortland city, New York",17577,50697,115400,3543,233,1135,1177,746,218,245,7667,36,18388
"Cortland West CDP, New York",1299,98438,205400,490,0,0,26,0,0,0,526,36,18443
"Country Knolls CDP, New York",5491,116489,302400,1943,128,22,12,0,0,0,2105,36,18542
"Cove Neck village, New York",244,189167,1625000,121,0,4,0,0,0,0,125,36,18597
