Date,T2M,RH2M,WS10M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,City
2018-07-27,24.58,90.69,4.01,3.57,5.38,7.25,"New York, New York"
2018-07-28,24.71,87.12,2.52,5.89,6.25,7.29,"New York, New York"
2018-07-29,23.8,75.31,3.51,0.0,6.5,7.6,"New York, New York"
2018-07-30,22.9,80.5,2.98,0.57,3.2,7.36,"New York, New York"
2018-07-31,23.33,82.44,3.29,0.95,5.13,7.23,"New York, New York"
2018-08-01,25.15,90.69,6.17,4.76,5.19,7.06,"New York, New York"
2018-08-02,25.57,89.38,5.7,2.74,5.38,7.0,"New York, New York"
2018-08-03,25.31,90.12,5.34,8.47,4.61,6.97,"New York, New York"
2018-08-04,25.29,88.44,5.05,21.14,5.83,7.03,"New York, New York"
2018-08-05,25.94,80.5,2.95,0.07,7.14,7.21,"New York, New York"
2018-08-06,26.16,80.94,3.9,0.3,6.47,7.05,"New York, New York"
2018-08-07,25.91,88.5,5.31,5.09,5.93,6.89,"New York, New York"
2018-08-08,26.34,86.0,3.4,4.68,6.3,6.91,"New York, New York"
2018-08-09,26.25,81.12,3.6,2.79,6.7,7.18,"New York, New York"
2018-08-10,25.8,79.5,3.03,0.61,5.88,7.0,"New York, New York"
2018-08-11,24.96,87.38,3.17,12.97,2.53,5.9,"New York, New York"
2018-08-12,24.62,86.81,2.81,5.74,5.05,6.71,"New York, New York"
2018-08-13,23.83,92.56,4.63,22.75,2.58,6.7,"New York, New York"
2018-08-14,24.25,84.25,4.84,5.13,4.81,6.75,"New York, New York"
2018-08-15,25.01,83.12,4.95,2.92,6.4,6.65,"New York, New York"
2018-08-16,26.09,83.38,3.66,0.41,5.84,6.36,"New York, New York"
2018-08-17,25.32,90.06,4.41,5.86,4.99,6.44,"New York, New York"
2018-08-18,25.34,87.31,3.34,7.58,4.75,6.35,"New York, New York"
2018-08-19,21.46,89.25,6.37,9.33,1.91,6.07,"New York, New York"
2018-08-20,21.38,84.31,4.09,0.68,3.15,4.83,"New York, New York"
2018-08-21,22.08,86.38,4.63,1.17,3.21,5.95,"New York, New York"
2018-08-22,24.14,86.75,5.02,3.11,5.52,6.43,"New York, New York"
2018-08-23,21.64,72.38,4.88,0.02,6.72,6.91,"New York, New York"
2018-08-24,22.11,76.75,3.0,0.0,6.71,6.79,"New York, New York"
2018-08-25,22.3,70.06,2.7,0.0,5.32,6.59,"New York, New York"
2018-08-26,22.95,78.94,4.68,0.05,5.76,6.32,"New York, New York"
2018-08-27,25.0,83.81,3.32,0.04,5.31,5.74,"New York, New York"
2018-08-28,26.12,86.88,4.41,0.07,6.32,6.36,"New York, New York"
2018-08-29,26.87,84.5,4.78,0.05,6.34,6.38,"New York, New York"
2018-08-30,26.73,79.19,3.65,0.08,6.15,6.38,"New York, New York"
2018-08-31,22.59,84.81,6.9,3.12,1.55,5.67,"New York, New York"
2018-09-01,21.3,82.12,4.76,9.37,3.98,6.11,"New York, New York"
2018-09-02,23.17,83.94,2.62,0.07,4.13,6.05,"New York, New York"
2018-09-03,25.26,86.31,3.45,0.2,5.88,6.14,"New York, New York"
2018-09-04,26.65,78.5,2.43,0.22,5.91,6.14,"New York, New York"
2018-09-05,25.65,89.38,3.88,0.37,5.88,6.07,"New York, New York"
2018-09-06,26.36,85.31,3.86,2.48,5.74,5.92,"New York, New York"
2018-09-07,23.56,89.56,4.07,8.63,2.32,5.38,"New York, New York"
2018-09-08,20.86,82.19,5.92,9.15,1.88,5.63,"New York, New York"
2018-09-09,18.07,84.25,8.17,39.64,1.35,5.59,"New York, New York"
2018-09-10,19.35,91.31,9.05,34.88,1.18,5.52,"New York, New York"
2018-09-11,22.05,95.12,1.34,1.99,2.04,5.44,"New York, New York"
2018-09-12,22.8,95.75,2.48,4.11,2.11,5.14,"New York, New York"
2018-09-13,22.15,92.69,4.88,0.86,2.09,5.52,"New York, New York"
2018-09-14,21.44,89.31,5.06,0.71,2.22,5.31,"New York, New York"
2018-09-15,21.56,84.19,2.76,0.31,3.9,5.64,"New York, New York"
2018-09-16,22.06,82.5,2.2,0.05,5.76,5.86,"New York, New York"
2018-09-17,22.51,90.94,3.95,1.9,2.5,5.54,"New York, New York"
2018-09-18,23.61,94.44,5.2,19.06,2.05,5.27,"New York, New York"
2018-09-19,22.12,88.81,3.81,0.71,4.68,5.24,"New York, New York"
2018-09-20,19.6,81.44,4.21,0.74,2.12,4.67,"New York, New York"
2018-09-21,21.12,82.5,6.05,0.3,1.76,5.19,"New York, New York"
2018-09-22,20.9,73.88,6.01,0.06,3.8,5.61,"New York, New York"
2018-09-23,18.36,83.5,2.7,8.78,1.4,5.29,"New York, New York"
2018-09-24,18.01,79.44,8.07,0.13,3.37,5.18,"New York, New York"
2018-09-25,20.86,93.44,7.87,40.89,1.33,4.76,"New York, New York"
2018-09-26,22.83,93.5,5.58,4.66,3.34,4.9,"New York, New York"
2018-09-27,19.04,79.12,5.72,9.57,4.22,5.16,"New York, New York"
2018-09-28,18.32,87.56,4.91,21.41,2.28,4.9,"New York, New York"
2018-09-29,18.9,78.94,3.09,0.07,4.88,5.14,"New York, New York"
