NAME,B01003_001E,B19013_001E,B25077_001E,B25024_002E,B25024_003E,B25024_004E,B25024_005E,B25024_006E,B25024_007E,B25024_008E,B25024_001E,state,place
"Birmingham city, Alabama",202234,39403,102900,63301,1787,1990,5815,10510,9592,6938,107454,01,07000
"Port St. Lucie city, Florida",202177,68647,245900,69198,2491,167,1418,1482,1392,602,78910,12,58715
"Little Rock city, Arkansas",201893,56928,179500,61196,1642,2967,4210,7719,7969,3728,98717,05,41000
"Augusta-Richmond County consolidated government (balance), Georgia",201264,46108,123400,53801,5384,2581,5370,7507,6135,1263,89921,13,04204
"Montgomery city, Alabama",201022,49989,125600,63923,2823,1325,4462,8756,4563,2279,93136,01,51000
"Amarillo city, Texas",200371,55174,148500,60943,3101,2569,2176,3968,4189,3403,87379,48,03000
"Salt Lake City city, Utah",199153,65880,380200,42214,3378,5084,5551,4676,5439,9085,90609,49,67000
"Huntington Beach city, California",198735,104728,845500,38442,9326,1038,10337,5342,3113,2928,81429,06,36000
"Grand Rapids city, Michigan",197858,55385,168700,47943,4079,8508,4782,3605,3020,3160,82542,26,34000
"Glendale city, California",196512,74488,865400,25344,2708,2263,6380,11359,11515,10869,78873,06,30000
"Sunrise Manor CDP, Nevada",196411,47665,213400,36140,2489,865,6762,6099,4857,1952,71696,32,71400
"Grand Prairie city, Texas",195992,73352,203600,43856,2862,912,2066,3927,5789,2285,67863,48,30464
"Overland Park city, Kansas",195249,92769,314500,49367,8229,790,4807,9360,4987,2331,84370,20,53775
"Tallahassee city, Florida",195057,49077,223400,37289,9862,3171,8001,5956,6588,4972,91766,12,70600
"Frisco city, Texas",193140,134210,448000,51662,1834,555,662,1538,2884,3065,70653,48,27684
"Cape Coral city, Florida",193003,65282,255700,71937,2154,3051,1923,3445,3812,2108,90717,12,10275
"Akron city, Ohio",191483,42129,87100,61818,2836,6359,3818,4509,3774,3775,93108,39,01000
"Paradise CDP, Nevada",189852,50085,282600,32398,5051,1156,9317,8983,8616,6749,96216,32,54600
"McKinney city, Texas",189394,106437,349600,50748,1490,551,1000,3588,4194,1941,69179,48,45744
"Shreveport city, Louisiana",189374,41782,155000,61459,2795,2335,4776,5443,4905,1887,89920,22,70000
"Knoxville city, Tennessee",189339,44308,154500,49857,4660,2639,4462,7683,9703,5173,92757,47,40000
"Sioux Falls city, South Dakota",189258,66761,218600,44582,5859,1945,3663,4219,6158,7682,81744,46,59020
"Providence city, Rhode Island",188812,55787,248900,19518,2077,16454,22457,5296,2755,2740,79103,44,59000
"Vancouver city, Washington",188331,67462,343900,42054,5435,4080,4380,6124,4382,2968,79124,53,74060
"Peoria city, Arizona",187733,81017,314000,56291,3592,582,1570,2223,1697,1053,75909,04,54050
"Mobile city, Alabama",187445,44780,138400,61934,1241,1692,3338,6808,7704,2900,91077,01,50000
"Brownsville city, Texas",185849,43174,95700,41909,1931,2108,3146,2530,1435,1994,61216,48,10768
"Newport News city, Virginia",185069,57463,204900,40738,6331,1240,5603,9665,7744,3003,81418,51,56000
"Aurora city, Illinois",183447,79642,208500,37677,10706,2795,2558,2370,3503,1939,63936,17,03012
"Fort Lauderdale city, Florida",182247,66994,364100,36142,4802,4527,6906,5259,6446,8872,100291,12,24000
"Chattanooga city, Tennessee",180353,50437,189500,50200,4285,5417,3343,5707,5391,4596,85455,47,14000
"Santa Rosa city, California",179213,84823,598700,40437,7234,1736,4464,3793,3275,3007,70412,06,70098
"Tempe city, Arizona",178862,64080,321300,31539,6845,1341,4740,6203,8447,6117,80663,04,73000
"Elk Grove city, California",175510,106797,466600,48675,1368,162,708,1231,1128,429,55504,06,22020
"Ontario city, California",175223,71908,438300,30895,4041,999,3571,2997,1911,2036,53217,06,53896
"Oceanside city, California",174461,80837,568700,34202,8341,1274,3736,4920,3777,2170,65763,06,53322
"Salem city, Oregon",174193,62185,289500,39810,2697,1807,4655,6043,4450,2430,68134,41,64900
"Rancho Cucamonga city, California",173946,97046,551700,36711,4121,478,2516,3019,2127,1711,58721,06,59451
"Eugene city, Oregon",173278,55776,337200,40112,4936,2839,4851,6002,4336,3801,76635,41,23850
"Garden Grove city, California",172708,78046,601000,27337,4755,535,3154,3900,2308,2201,49559,06,29000
"Lancaster city, California",171820,61454,303400,38539,930,570,2195,3130,1168,1053,55574,06,40130
"Cary town, North Carolina",171603,113782,404300,41039,8932,432,1192,3572,6354,2942,68504,37,10740
"Pembroke Pines city, Florida",170346,73024,324300,31482,8433,460,2017,3276,4155,5757,66172,12,55775
"Springfield city, Missouri",168603,39991,127800,51756,2623,2547,2483,4385,6447,6773,83410,29,70000
"Palmdale city, California",167987,70858,332400,38560,650,363,938,1521,1500,1034,48849,06,55156
"Fort Collins city, Colorado",166788,72932,431300,38553,5579,1644,3657,5640,5356,3934,70187,08,27425
"Clarksville city, Tennessee",163518,58838,172700,44886,1827,1946,4801,5055,1918,1105,64769,47,15160
"Salinas city, California",163004,75747,477200,25356,2435,1074,2770,3915,3194,1849,44317,06,64224
"Hayward city, California",162254,98837,653500,27574,5680,474,2052,2263,2423,2975,52193,06,33000
"Alexandria city, Virginia",158185,105450,579100,11174,16880,977,2396,6335,9423,3990,80040,51,01000
"Paterson city, New Jersey",157927,48540,269200,8954,1725,18520,10606,3726,2327,2708,52859,34,57000
"Corona city, California",157844,95268,530100,31715,2811,325,2076,3067,2575,1151,47799,06,16350
"Macon-Bibb County, Georgia",156711,43862,131400,46897,1783,3464,4178,5144,3333,1774,71725,13,49008
"Springfield city, Massachusetts",155770,43308,168700,27604,2524,12321,6128,5567,1410,2400,63179,25,67000
"Kansas City city, Kansas",155745,50707,112500,44035,5643,1212,1587,2359,2965,1557,63418,20,36000
"Lakewood city, Colorado",155608,75343,428800,33839,8284,1372,2792,6405,6536,5752,70980,08,43000
"Sunnyvale city, California",155550,161670,1528500,22858,6446,967,5039,4211,4278,4577,60511,06,77000
"Hollywood city, Florida",152597,56912,296000,30553,3311,3104,3307,2869,5555,7625,71123,12,32000
"Pasadena city, Texas",151964,61182,142900,31804,552,514,1321,3721,4554,3214,53812,48,56000
"Pomona city, California",151592,67549,446300,26390,3103,789,2274,2023,1676,1892,43239,06,58072
"Escondido city, California",151443,70115,498000,26202,3810,527,2211,2661,2668,3207,52366,06,22804
"Joliet city, Illinois",150323,77373,204800,36492,5008,2866,1682,1391,1673,981,52602,17,38570
"Killeen city, Texas",150082,52072,147400,37797,2526,4727,5366,3243,4164,1744,62337,48,39148
"Mesquite city, Texas",149848,63706,170600,37632,1323,357,1454,3487,3301,1883,52620,48,47892
"Bellevue city, Washington",149365,140252,951200,30758,3313,807,3005,4741,3353,4296,63704,53,05210
"Naperville city, Illinois",149013,135772,433400,34492,6999,653,1621,4278,3484,1515,55774,17,51622
"Murfreesboro city, Tennessee",148970,66984,274600,32133,5812,1478,2555,6459,5423,3465,60136,47,51560
"Rockford city, Illinois",148942,47002,97500,40425,3372,6668,5506,3485,2770,1580,67999,17,65000
"Bridgeport city, Connecticut",148529,50597,194100,15760,4879,10252,10395,4245,3609,3511,58625,09,08000
"Savannah city, Georgia",147930,49832,170500,37505,3356,4487,5703,5686,3384,2027,65923,13,69000
"Charleston city, South Carolina",147928,76556,369500,36449,3835,3247,4558,7470,5644,4240,73412,45,13330
"Syracuse city, New York",146781,40490,99200,27372,2669,12424,6614,4043,3242,3845,68247,36,73000
"Roseville city, California",145687,102660,502800,42532,1794,274,2217,2664,2010,1035,56849,06,62938
"McAllen city, Texas",141941,52422,138200,34288,2232,2563,3825,2830,2023,1689,53058,48,45384
"Surprise city, Arizona",141875,76623,282300,49602,1024,251,497,765,1220,635,58483,04,71510
"Thornton city, Colorado",140538,86818,376900,31033,4658,126,1383,2444,3477,1992,49188,08,77290
"Olathe city, Kansas",140339,100849,273600,36721,5132,491,1507,1621,1928,2427,51864,20,52575
"Visalia city, California",140109,69252,267400,35138,1814,1681,3287,1567,553,809,47259,06,82954
"Denton city, Texas",139704,65168,257500,29748,1348,1481,4012,5108,4489,3639,55295,48,19972
"Gainesville city, Florida",138741,40937,182400,24667,3067,2475,5407,7957,8222,5214,63340,12,25175
"Columbia city, South Carolina",137276,48791,193100,30077,2906,2916,3486,4789,4293,2897,58905,45,16000
"Waco city, Texas",136800,42687,149400,34085,1591,2763,3170,3822,5157,3140,57688,48,76000
"Palm Bay city, Florida",118709,55963,186100,38539,1041,262,1012,1349,1186,505,46205,12,54000
